"Symbol","Company name","Listing date","Sector","Market Cap"
"MPX","MUSTERA PROPERTY GROUP LIMITED","2014-11-28","Real Estate",32543342
"MQG","MACQUARIE GROUP LIMITED","2007-11-05","Finance",54971521808
"MQR","MARQUEE RESOURCES LIMITED","2017-03-15","Basic Industries",7914067
"MR1","MONTEM RESOURCES LIMITED.","2020-09-15","Class Pend",20375166
"MRC","MINERAL COMMODITIES LTD","1981-08-14","Basic Industries",111779185
"MRD","MOUNT RIDLEY MINES LIMITED","2004-09-15","Basic Industries",28177522
"MRG","MURRAY RIVER ORGANICS GROUP LIMITED","2016-12-16","Food, Beverage & Tobacco",7278999
"MRL","MAYUR RESOURCES LIMITED","2017-09-21","Basic Industries",47008773
"MRM","MMA OFFSHORE LIMITED","1999-06-21","Energy",120374959
"MRQ","MRG METALS LIMITED","2011-06-08","Basic Industries",10784689
"MRR","MINREX RESOURCES LIMITED","2011-11-11","Basic Industries",12676152
"MRZ","MONT ROYAL RESOURCES LIMITED","2019-05-07","Basic Industries",12499316
"MSB","MESOBLAST LIMITED","2004-12-16","Health Care",1271444297
"MSG","MCS SERVICES LIMITED","2012-01-17","Consumer Services",9872552
"MSI","MULTISTACK INTERNATIONAL LIMITED","1993-02-11","Capital Goods",9882745
"MSL","MSL SOLUTIONS LIMITED.","2017-05-04","Technology",49390617
"MSM","MSM CORPORATION INTERNATIONAL LTD","1996-11-20","Consumer Services","N/A"
"MSR","MANAS RESOURCES LIMITED","2008-07-22","Basic Industries",33156236
"MSV","MITCHELL SERVICES LIMITED","2011-08-02","Basic Industries",84676465
"MTB","MOUNT BURGESS MINING NL","1985-09-05","Basic Industries",6073369
"MTC","METALSTECH LIMITED","2017-02-24","Basic Industries",29225351
"MTH","MITHRIL RESOURCES LIMITED","2002-11-18","Basic Industries",37603729
"MTO","MOTORCYCLE HOLDINGS LIMITED","2016-04-29","Retailing",178949459
"MTR","METAL TIGER PLC","2021-05-27","Basic Industries",88407272
